Vessel_ID,Timestamp,Fuel_Used_per_Hour_liters,Fuel_Used_per_NM_liters,Fuel_Cost_USD,Load_Weight_percent,Engine_Load_percent
SHIP_0001,2024-08-30 22:00:00,624.2842630510887,117.33594930442453,484.57852180481154,84.43098481487803,58.82267936962277
SHIP_0001,2024-06-15 15:00:00,714.1695757680176,127.94566886537064,364.6931165876656,89.25309072779828,70.38209715328729
SHIP_0001,2024-09-12 05:00:00,692.7879281707332,66.45862499846247,278.29010776941476,79.12000932697794,63.26798611461981
SHIP_0001,2024-07-06 05:00:00,996.184109509318,50.64195600583105,721.632829694686,90.14816091896967,80.18203651116667
SHIP_0001,2024-10-08 19:00:00,219.87459404937505,16.0787064874006,115.33638062778648,41.349692501650914,34.36730355470675
SHIP_0001,2024-11-01 22:00:00,448.25246944765576,286.5268391503954,223.787844636617,96.54170765260648,78.66224443623693
SHIP_0001,2024-11-11 01:00:00,334.6731217843756,61.36609037936776,248.06422594467406,48.82154606537391,39.93215567860379
SHIP_0001,2024-01-25 22:00:00,806.0493680393602,52.664026880528326,632.2141343501218,87.66790030974352,74.10069220379374
SHIP_0001,2024-07-24 04:00:00,256.4200860104172,15.640525165687583,183.0251865930399,37.06115555205818,40.62382212177833
SHIP_0001,2024-02-04 17:00:00,573.2183454975878,39.90531220001781,261.4572817134146,50.58980404989883,41.66982307675582
SHIP_0001,2024-01-17 04:00:00,202.63902836881135,70.16562973934856,90.42926454223007,90.02952577857246,73.03993112672185
SHIP_0001,2024-08-12 22:00:00,142.00564226568903,10.889700373811039,62.29110013183548,31.815894214156398,25.17447452592169
SHIP_0001,2024-06-21 18:00:00,503.30293056081393,27.104215350698407,168.36589943808232,45.193649776059594,38.23529053310079
SHIP_0001,2024-06-30 17:00:00,117.3507988480048,8.139001710818885,75.77304292498609,63.146088952633406,56.833574727306846
SHIP_0001,2024-04-09 12:00:00,798.4953927318292,179.4429886942888,389.9438819073198,87.16872402961273,72.337340429623
SHIP_0001,2024-09-12 08:00:00,206.79461233031554,10.554492940788794,112.56631357858336,55.46030592860611,46.85459571246962
SHIP_0001,2024-12-23 02:00:00,979.1426981867662,248.25474393902908,720.1245534889753,42.937451640858335,29.449866573322794
SHIP_0001,2024-10-31 12:00:00,646.9006100728386,90.47379275314385,492.21112604133896,54.94974938965681,43.040690227886074
SHIP_0001,2024-07-30 04:00:00,590.1482944965006,44.94690609500099,442.45485515768496,81.38100798814718,55.39042989137363
SHIP_0001,2024-03-15 09:00:00,222.18280113830008,141.33910453375012,118.14775517920069,54.21366521435971,39.997227604546154
SHIP_0001,2024-12-16 00:00:00,888.0369343045592,257.09068048859893,631.7112268324438,81.22674114949872,63.81649516959468
SHIP_0001,2024-02-16 07:00:00,584.3508802435424,121.11726809851504,345.88114560536604,53.72492400613853,39.90780947137335
SHIP_0001,2024-12-28 06:00:00,456.18416090613164,31.77876623140312,198.0192104323541,74.54934494317394,50.23273055663137
SHIP_0001,2024-01-27 09:00:00,815.333955240368,44.079456180529284,521.568480522639,89.61334767104157,68.56686225419641
SHIP_0001,2024-07-01 21:00:00,313.95300000392064,26.784603262022777,136.47095713748377,61.63766625570495,54.822348155043954
SHIP_0001,2024-06-05 21:00:00,904.9736772981815,46.28523441583469,389.5126326015239,86.48812949209241,71.79447786903148
SHIP_0001,2024-02-24 19:00:00,989.3628698932052,67.39238920527939,745.0427889730114,87.26589670776097,66.58035150891497
SHIP_0001,2024-02-07 15:00:00,546.4477900018396,76.29229456247863,344.3846276179306,54.18537893551532,40.66672533500386
SHIP_0001,2024-11-11 02:00:00,663.6916353735509,346.2882672181196,217.22843462499063,89.0869815569277,69.517721357929
